f_spot,T_spot,f_facula,T_facula,wavelength,D_lambda
0.01,2800.0,nan,nan,864.0,5864.224968
0.01,2830.0,nan,nan,864.0,5861.889055777779
0.01,2860.0,nan,nan,864.0,5859.553143555556
0.01,2890.0,nan,nan,864.0,5857.217231333333
0.01,2920.0,nan,nan,864.0,5854.881319111111
0.01,2950.0,nan,nan,864.0,5852.332961777777
0.01,2980.0,nan,nan,864.0,5849.572159333334
0.01,3010.0,nan,nan,864.0,5846.811356888889
0.01,3040.0,nan,nan,864.0,5844.050554444444
0.01,3070.0,nan,nan,864.0,5841.289752
0.025555555555555554,2800.0,nan,nan,864.0,5905.758215333333
0.025555555555555554,2830.0,nan,nan,864.0,5899.605936888889
0.025555555555555554,2860.0,nan,nan,864.0,5893.453658444443
0.025555555555555554,2890.0,nan,nan,864.0,5887.301380000001
0.025555555555555554,2920.0,nan,nan,864.0,5881.149101555555
0.025555555555555554,2950.0,nan,nan,864.0,5874.507444320987
0.025555555555555554,2980.0,nan,nan,864.0,5867.376408296296
0.025555555555555554,3010.0,nan,nan,864.0,5860.245372271604
0.025555555555555554,3040.0,nan,nan,864.0,5853.114336246913
0.025555555555555554,3070.0,nan,nan,864.0,5845.983300222221
0.041111111111111105,2800.0,nan,nan,864.0,5947.291462666666
0.041111111111111105,2830.0,nan,nan,864.0,5937.322818
0.041111111111111105,2860.0,nan,nan,864.0,5927.354173333333
0.041111111111111105,2890.0,nan,nan,864.0,5917.385528666667
0.041111111111111105,2920.0,nan,nan,864.0,5907.416883999999
0.041111111111111105,2950.0,nan,nan,864.0,5896.6819268641975
0.041111111111111105,2980.0,nan,nan,864.0,5885.1806572592595
0.041111111111111105,3010.0,nan,nan,864.0,5873.679387654321
0.041111111111111105,3040.0,nan,nan,864.0,5862.178118049383
0.041111111111111105,3070.0,nan,nan,864.0,5850.676848444444
0.056666666666666664,2800.0,nan,nan,864.0,5988.824710000001
0.056666666666666664,2830.0,nan,nan,864.0,5975.03969911111
0.056666666666666664,2860.0,nan,nan,864.0,5961.254688222222
0.056666666666666664,2890.0,nan,nan,864.0,5947.469677333333
0.056666666666666664,2920.0,nan,nan,864.0,5933.684666444444
0.056666666666666664,2950.0,nan,nan,864.0,5918.856409407406
0.056666666666666664,2980.0,nan,nan,864.0,5902.984906222222
0.056666666666666664,3010.0,nan,nan,864.0,5887.113403037037
0.056666666666666664,3040.0,nan,nan,864.0,5871.2418998518515
0.056666666666666664,3070.0,nan,nan,864.0,5855.370396666667
0.07222222222222222,2800.0,nan,nan,864.0,6030.357957333334
0.07222222222222222,2830.0,nan,nan,864.0,6012.7565802222225
0.07222222222222222,2860.0,nan,nan,864.0,5995.155203111111
0.07222222222222222,2890.0,nan,nan,864.0,5977.553825999999
0.07222222222222222,2920.0,nan,nan,864.0,5959.952448888888
0.07222222222222222,2950.0,nan,nan,864.0,5941.030891950616
0.07222222222222222,2980.0,nan,nan,864.0,5920.789155185186
0.07222222222222222,3010.0,nan,nan,864.0,5900.547418419754
0.07222222222222222,3040.0,nan,nan,864.0,5880.305681654321
0.07222222222222222,3070.0,nan,nan,864.0,5860.063944888889
0.08777777777777776,2800.0,nan,nan,864.0,6072.917654777778
0.08777777777777776,2830.0,nan,nan,864.0,6051.332416629631
0.08777777777777776,2860.0,nan,nan,864.0,6029.7471784814825
0.08777777777777776,2890.0,nan,nan,864.0,6008.161940333333
0.08777777777777776,2920.0,nan,nan,864.0,5986.576702185185
0.08777777777777776,2950.0,nan,nan,864.0,5963.4457563580245
0.08777777777777776,2980.0,nan,nan,864.0,5938.769102851852
0.08777777777777776,3010.0,nan,nan,864.0,5914.092449345679
0.08777777777777776,3040.0,nan,nan,864.0,5889.415795839506
0.08777777777777776,3070.0,nan,nan,864.0,5864.739142333334
0.10333333333333332,2800.0,nan,nan,864.0,6116.503802333333
0.10333333333333332,2830.0,nan,nan,864.0,6090.767208333333
0.10333333333333332,2860.0,nan,nan,864.0,6065.030614333333
0.10333333333333332,2890.0,nan,nan,864.0,6039.294020333333
0.10333333333333332,2920.0,nan,nan,864.0,6013.557426333334
0.10333333333333332,2950.0,nan,nan,864.0,5986.101002629629
0.10333333333333332,2980.0,nan,nan,864.0,5956.924749222222
0.10333333333333332,3010.0,nan,nan,864.0,5927.748495814815
0.10333333333333332,3040.0,nan,nan,864.0,5898.572242407407
0.10333333333333332,3070.0,nan,nan,864.0,5869.395989000001
0.11888888888888886,2800.0,nan,nan,864.0,6160.089949888888
0.11888888888888886,2830.0,nan,nan,864.0,6130.202000037037
0.11888888888888886,2860.0,nan,nan,864.0,6100.314050185185
0.11888888888888886,2890.0,nan,nan,864.0,6070.426100333334
0.11888888888888886,2920.0,nan,nan,864.0,6040.538150481481
0.11888888888888886,2950.0,nan,nan,864.0,6008.756248901234
0.11888888888888886,2980.0,nan,nan,864.0,5975.080395592594
0.11888888888888886,3010.0,nan,nan,864.0,5941.404542283951
0.11888888888888886,3040.0,nan,nan,864.0,5907.728688975309
0.11888888888888886,3070.0,nan,nan,864.0,5874.052835666667
0.13444444444444442,2800.0,nan,nan,864.0,6203.676097444444
0.13444444444444442,2830.0,nan,nan,864.0,6169.636791740741
0.13444444444444442,2860.0,nan,nan,864.0,6135.597486037037
0.13444444444444442,2890.0,nan,nan,864.0,6101.558180333333
0.13444444444444442,2920.0,nan,nan,864.0,6067.51887462963
0.13444444444444442,2950.0,nan,nan,864.0,6031.411495172839
0.13444444444444442,2980.0,nan,nan,864.0,5993.236041962962
0.13444444444444442,3010.0,nan,nan,864.0,5955.0605887530855
