ff,T,lambdaEff_nm,D_lambda,type
0.01,2800.0,864.0,5867.054119188641,spot
0.014827586206896552,2800.0,864.0,5879.730827038544,spot
0.019655172413793102,2800.0,864.0,5892.407534888446,spot
0.024482758620689653,2800.0,864.0,5905.084242738347,spot
0.029310344827586203,2800.0,864.0,5917.76095058825,spot
0.03413793103448275,2800.0,864.0,5930.437658438152,spot
0.03896551724137931,2800.0,864.0,5943.114366288054,spot
0.04379310344827586,2800.0,864.0,5955.791074137956,spot
0.04862068965517241,2800.0,864.0,5968.744212697628,spot
0.05344827586206896,2800.0,864.0,5981.789494827225,spot
0.05827586206896551,2800.0,864.0,5994.834776956821,spot
0.06310344827586206,2800.0,864.0,6007.8800590864175,spot
0.06793103448275861,2800.0,864.0,6020.925341216014,spot
0.07275862068965516,2800.0,864.0,6033.970623345611,spot
0.07758620689655171,2800.0,864.0,6047.015905475207,spot
0.08241379310344826,2800.0,864.0,6059.889566906591,spot
0.08724137931034481,2800.0,864.0,6072.5916076397625,spot
0.09206896551724136,2800.0,864.0,6085.293648372935,spot
0.09689655172413791,2800.0,864.0,6097.9956891061065,spot
0.10172413793103446,2800.0,864.0,6110.697729839279,spot
0.10655172413793101,2800.0,864.0,6123.3997705724505,spot
0.11137931034482756,2800.0,864.0,6136.101811305623,spot
0.11620689655172411,2800.0,864.0,6148.673353873924,spot
0.12103448275862067,2800.0,864.0,6160.853401947608,spot
0.12586206896551724,2800.0,864.0,6173.033450021292,spot
0.1306896551724138,2800.0,864.0,6185.213498094977,spot
0.13551724137931034,2800.0,864.0,6197.3935461686615,spot
0.1403448275862069,2800.0,864.0,6209.573594242346,spot
0.14517241379310344,2800.0,864.0,6221.75364231603,spot
0.15,2800.0,864.0,6233.933690389715,spot
0.01,2810.1724137931033,864.0,5866.299228357662,spot
0.014827586206896552,2810.1724137931033,864.0,5878.975936207564,spot
0.019655172413793102,2810.1724137931033,864.0,5891.652644057467,spot
0.024482758620689653,2810.1724137931033,864.0,5904.329351907368,spot
0.029310344827586203,2810.1724137931033,864.0,5917.00605975727,spot
0.03413793103448275,2810.1724137931033,864.0,5929.682767607172,spot
0.03896551724137931,2810.1724137931033,864.0,5942.359475457074,spot
0.04379310344827586,2810.1724137931033,864.0,5952.9860804800965,spot
0.04862068965517241,2810.1724137931033,864.0,5963.094706907277,spot
0.05344827586206896,2810.1724137931033,864.0,5975.419607529028,spot
0.05827586206896551,2810.1724137931033,864.0,5988.464889658625,spot
0.06310344827586206,2810.1724137931033,864.0,6001.510171788221,spot
0.06793103448275861,2810.1724137931033,864.0,6014.555453917818,spot
0.07275862068965516,2810.1724137931033,864.0,6027.600736047414,spot
0.07758620689655171,2810.1724137931033,864.0,6040.64601817701,spot
0.08241379310344826,2810.1724137931033,864.0,6052.142702475817,spot
0.08724137931034481,2810.1724137931033,864.0,6063.467766076412,spot
0.09206896551724136,2810.1724137931033,864.0,6076.169806809584,spot
0.09689655172413791,2810.1724137931033,864.0,6088.871847542756,spot
0.10172413793103446,2810.1724137931033,864.0,6101.573888275929,spot
0.10655172413793101,2810.1724137931033,864.0,6114.2759290091,spot
0.11137931034482756,2810.1724137931033,864.0,6126.977969742272,spot
0.11620689655172411,2810.1724137931033,864.0,6139.549512310572,spot
0.12103448275862067,2810.1724137931033,864.0,6151.729560384258,spot
0.12586206896551724,2810.1724137931033,864.0,6163.909608457941,spot
0.1306896551724138,2810.1724137931033,864.0,6176.089656531625,spot
0.13551724137931034,2810.1724137931033,864.0,6188.269704605311,spot
0.1403448275862069,2810.1724137931033,864.0,6200.449752678995,spot
0.14517241379310344,2810.1724137931033,864.0,6212.629800752679,spot
0.15,2810.1724137931033,864.0,6222.265524947577,spot
0.01,2820.344827586207,864.0,5865.544337526683,spot
0.014827586206896552,2820.344827586207,864.0,5878.221045376585,spot
0.019655172413793102,2820.344827586207,864.0,5890.897753226487,spot
0.024482758620689653,2820.344827586207,864.0,5903.574461076389,spot
0.029310344827586203,2820.344827586207,864.0,5916.251168926291,spot
0.03413793103448275,2820.344827586207,864.0,5928.927876776193,spot
0.03896551724137931,2820.344827586207,864.0,5939.554481799215,spot
0.04379310344827586,2820.344827586207,864.0,5949.497719213277,spot
0.04862068965517241,2820.344827586207,864.0,5959.606345640457,spot
0.05344827586206896,2820.344827586207,864.0,5969.770101738675,spot
0.05827586206896551,2820.344827586207,864.0,5982.095002360427,spot
0.06310344827586206,2820.344827586207,864.0,5995.140284490023,spot
0.06793103448275861,2820.344827586207,864.0,6008.185566619621,spot
0.07275862068965516,2820.344827586207,864.0,6021.230848749217,spot
0.07758620689655171,2820.344827586207,864.0,6034.276130878812,spot
0.08241379310344826,2820.344827586207,864.0,6045.77281517762,spot
0.08724137931034481,2820.344827586207,864.0,6055.720901645637,spot
0.09206896551724136,2820.344827586207,864.0,6067.045965246232,spot
0.09689655172413791,2820.344827586207,864.0,6079.748005979403,spot
0.10172413793103446,2820.344827586207,864.0,6092.450046712577,spot
0.10655172413793101,2820.344827586207,864.0,6105.152087445748,spot
0.11137931034482756,2820.344827586207,864.0,6117.85412817892,spot
0.11620689655172411,2820.344827586207,864.0,6130.4256707472205,spot
0.12103448275862067,2820.344827586207,864.0,6142.605718820905,spot
0.12586206896551724,2820.344827586207,864.0,6154.78576689459,spot
0.1306896551724138,2820.344827586207,864.0,6166.965814968275,spot
0.13551724137931034,2820.344827586207,864.0,6179.145863041959,spot
0.1403448275862069,2820.344827586207,864.0,6191.325911115643,spot
0.14517241379310344,2820.344827586207,864.0,6200.96163531054,spot
0.15,2820.344827586207,864.0,6210.597359505438,spot
0.01,2830.5172413793102,864.0,5864.789446695703,spot
0.014827586206896552,2830.5172413793102,864.0,5877.466154545606,spot
0.019655172413793102,2830.5172413793102,864.0,5890.142862395508,spot
0.024482758620689653,2830.5172413793102,864.0,5902.8195702454095,spot
0.029310344827586203,2830.5172413793102,864.0,5915.496278095312,spot
0.03413793103448275,2830.5172413793102,864.0,5926.122883118334,spot
0.03896551724137931,2830.5172413793102,864.0,5936.066120532397,spot
0.04379310344827586,2830.5172413793102,864.0,5946.009357946458,spot
0.04862068965517241,2830.5172413793102,864.0,5956.117984373639,spot
0.05344827586206896,2830.5172413793102,864.0,5966.281740471856,spot
0.05827586206896551,2830.5172413793102,864.0,5976.445496570075,spot
